rho;rho_l;P_l;rho_v;P_v
450.000000000000000;-8491991498444.760742187500000;-0.225097656250000;-13832391373156.406250000000000;0.176757812500000;0.000000000000000
460.000000000000000;-6747599791858.700195312500000;0.047729492187500;-188972610453189.750000000000000;-3.746093750000000;0.000000000000000
470.000000000000000;-11533010510666.693359375000000;-0.065673828125000;-23139946970971.156250000000000;-0.120605468750000;0.000000000000000
480.000000000000000;4.464408420281039;5.606855121759394;0.165335127416582;5.612220966979645;0.000000000000000
490.000000000000000;4.347266937000049;6.675422610441324;0.197663713417365;6.682708738677273;0.000000000000000
500.000000000000000;4.222729165260485;7.892015314271250;0.235351798235688;7.898228335369491;0.000000000000000
510.000000000000000;4.089761853228818;9.264565978469504;0.279352987236020;9.270375821334653;0.000000000000000
520.000000000000000;3.947068574374042;10.804543212391154;0.330892871002439;10.811006774998823;0.000000000000000
530.000000000000000;3.792991226513306;12.527646606914917;0.391604954593551;12.532229429683962;0.000000000000000
540.000000000000000;3.625124934776505;14.441475523782312;0.463756205727466;14.446402366677782;0.000000000000000
550.000000000000000;3.440084223147439;16.560897751026118;0.550672508288353;16.566134069212147;0.000000000000000
560.000000000000000;3.232507932454327;18.898914538099490;0.657620905524247;18.904287468135177;0.000000000000000
570.000000000000000;2.992879237333577;21.467676067584524;0.793956778932194;21.473992362145971;0.000000000000000
580.000000000000000;2.700765824404920;24.281378290433484;0.979904184620413;24.288702177860376;0.000000000000000
590.000000000000000;2.285383188880794;27.351152202831454;1.284807720790844;27.363694169025621;0.000000000000000
600.000000000000000;-0.181530007118470;-0.040688468416761;6.681222053748693;25813.653600994566659;0.000000000000000
